Name of Place ,Type of Location,Location,Accessbilty Feature,User Rate,Contatc Information,Disability preferences ,Location
Hattie B's Hot Chicken,Restaurent,Dallas,Sign Language Services,4.4,https://hattieb.com,Auditory Disability,"3827 Lemmon Ave, Dallas, TX 75219"
Café Momentum,Restaurent,Dallas,Sign Language Services,4.6,https://www.cafemomentum.org,Auditory Disability,"1702 N Akard St, Dallas, TX 75201"
Velvet Taco,Restaurent,Dallas,Sign Language Services,4.1,https://www.velvettaco.com,Auditory Disability,"2050 W 7th St, Dallas, TX 75207"
Whiskey Cake,Restaurent,Dallas,Sign Language Services,4.5,https://www.whiskeycake.com,Auditory Disability,"3601 Dallas Pkwy #100, Plano, TX 75093"
Yard House,Restaurent,Dallas,Sign Language Services,4.1,https://www.yardhouse.com,Auditory Disability,"3900 N Dallas Pkwy, Plano, TX 75093"
Café Brazil,Restaurent,Dallas,Sign Language Services,4.4,https://www.cafebrazil.com,Auditory Disability,"1900 N Henderson Ave, Dallas, TX 75206"
The Cheesecake Factory,Restaurent,Dallas,Sign Language Services,4.2,https://www.thecheesecakefactory.com,Auditory Disability,"4001 W. 15th St, Plano, TX 75093"
Fearing's Restaurant,Restaurent,Dallas,Sign Language Services,4.7 (Highest Rated),https://www.fearingsrestaurant.com,Auditory Disability,"2121 McKinney Ave, Dallas, TX 75201"
El Fenix,Restaurent,Dallas,Sign Language Services,4.3,https://www.elfenix.com,Auditory Disability,"1322 W. 8th St, Dallas, TX 75208"
Denny's,Restaurent,Dallas,Sign Language Services,4,https://www.dennys.com,Auditory Disability,"2601 S. Central Expy, Dallas, TX 75215"
Pei Wei Asian Diner,Restaurent,Dallas,Sign Language Services,4.4,https://www.peiwei.com,Auditory Disability,"4900 W. 7th St, Fort Worth, TX 76107"
Smoky John’s Bar-B-Que,Restaurent,Dallas,Sign Language Services,4.5,https://www.smokyjohndallas.com,Auditory Disability,"2500 A W. Mockingbird Ln, Dallas, TX 75235"
Trinity Groves,Restaurent,Dallas,Sign Language Services,4.4,https://www.trinitygroves.com,Auditory Disability,"3015 Gulden Ln, Dallas, TX 75212"
Buca di Beppo Italian Restaurant,Restaurent,Dallas,Sign Language Services,4.3,https://www.bucadibeppo.com,Auditory Disability,"3700 Dallas Pkwy, Plano, TX 75093"
The Old West Cafe,Restaurent,Dallas,Sign Language Services,4.6,https://www.oldwestcafe.com,Auditory Disability,"3030 W. 15th St, Plano, TX 75075"
The Porch,Restaurent,Dallas,Sign Language Services,4.5,https://www.theporchdallas.com,Auditory Disability,"2912 N. Henderson Ave, Dallas, TX 75206"
Fuzzy's Taco Shop,Restaurent,Dallas,Sign Language Services,4.3,https://www.fuzzystacoshop.com,Auditory Disability,"2301 N. Central Expy, Dallas, TX 75204"
Pappadeaux’s Seafood Kitchen,Restaurent,Dallas,Sign Language Services,4.5,https://www.pappadeaux.com,Auditory Disability,"2400 W. Loop 289, Dallas, TX 75237"
Katy Trail Ice House,Restaurent,Dallas,Guided Assistance,4.2,https://www.katytrailicehouse.com,Eye Disability,"3127 Routh St, Dallas, TX 75201"
Mexican Sugar,Restaurent,Dallas,Guided Assistance,4.2,https://www.mexicansugarcANTINA.com,Eye Disability,"2100 Dallas Pkwy #100, Plano, TX 75093"
Sixty Vines,Restaurent,Dallas,Guided Assistance,4.2,https://www.sixtyvines.com,Eye Disability,"3701 Dallas Pkwy, Plano, TX 75093"
Canary By Gorji,Restaurent,Dallas,Guided Assistance,4.7,https://www.canarybygorji.com,Eye Disability,"5100 Belt Line Rd, Dallas, TX 75254"
The Capital Grille,Restaurent,Dallas,Guided Assistance,4.5,https://www.thecapitalgrille.com,Eye Disability,"500 Crescent Ct, Dallas, TX 75201"
True Food Kitchen,Restaurent,Dallas,Guided Assistance,4.6,https://www.truefoodkitchen.com,Eye Disability,"3699 McKinney Ave, Dallas, TX 75204"
Dallas Fish Market,Restaurent,Dallas,Guided Assistance,4.4,https://www.dallasfishmarket.com,Eye Disability,"600 N. B. B. King Blvd, Dallas, TX 75202"
Uchi,Restaurent,Dallas,Guided Assistance,4.7,https://www.uchirestaurants.com,Eye Disability,"2817 Elm St, Dallas, TX 75226"
Hattie's,Restaurent,Dallas,Guided Assistance,4.3,https://www.hatties.com,Eye Disability,"418 N. Bishop Ave, Dallas, TX 75208"
Pecan Lodge,Restaurent,Dallas,Guided Assistance,4.6,https://www.pecanlodge.com,Eye Disability,"2702 Main St, Dallas, TX 75226"
The Rustic,Restaurent,Dallas,Guided Assistance,4.4,https://www.therustic.com,Eye Disability,"3656 Howell St, Dallas, TX 75204"
Cattleack Barbeque,Restaurent,Dallas,Guided Assistance,4.8 (Highest Rated),https://www.cattleackbbq.com,Eye Disability,"13628 Gamma Rd, Dallas, TX 75244"
Bread Winners Cafe & Bakery,Restaurent,Dallas,Guided Assistance,4.5,https://www.breadwinnerscafe.com,Eye Disability,"3301 McKinney Ave, Dallas, TX 75204"
Stephan Pyles Flora Street Cafe,Restaurent,Dallas,Guided Assistance,4.6,https://www.flora-street.com,Eye Disability,"2120 Flora St, Dallas, TX 75201"
Lockhart Smokehouse,Restaurent,Dallas,Guided Assistance,4.5,https://www.lockhartsmokehouse.com,Eye Disability,"400 W. Davis St, Dallas, TX 75208"
Café Momentum,Restaurent,Dallas,Guided Assistance,4.6,https://www.cafemomentum.org,Eye Disability,"1510 Pacific Ave, Dallas, TX 75201"
Mamma’s Daughter’s Diner,Restaurent,Dallas,Guided Assistance,4.4,https://www.mammasdaughtersdiner.com,Eye Disability,"501 W. Davis St, Dallas, TX 75208"
Barley House,Restaurent,Dallas,Guided Assistance,4.3,https://www.barleyhouse.com,Eye Disability,"5612 Bell Ave, Dallas, TX 75206"
Ziziki’s,Restaurent,Dallas,Guided Assistance,4.5,https://www.zizikis.com,Eye Disability,"8300 Preston Rd, Dallas, TX 75225"
True Food Kitchen,Restaurent,Dallas,All 4 features,4.5,https://www.truefoodkitchen.com,Physical Disability,"8383 Preston Center Plaza, Dallas, TX 75225"
Gloria’s Latin Cuisine,Restaurent,Dallas,All 4 features,4.3,https://www.gloriaslatin cuisine.com,Physical Disability,"4400 W 7th St, Fort Worth, TX 76107"
Ellen's,Restaurent,Dallas,All 4 features,4.4,https://www.ellens.com,Physical Disability," 1699 N Record St, Dallas, TX 75202"
Uchi,Restaurent,Dallas,Wheelchair Accessibility,4.8,https://uchirestaurants.com,Physical Disability,"801 S Lamar Blvd, Austin, TX 78704"
The Capital Grille,Restaurent,Dallas,Wheelchair Accessibility,4.6,https://www.thecapitalgrille.com,Physical Disability,"5000 Belt Line Rd, Dallas, TX 75254"
Tei-An,Restaurent,Dallas,Wheelchair Accessibility,4.5,http://www.tei-an.com,Physical Disability,"1722 Routh St, Dallas, TX 75201"
Olive Garden,Restaurent,Dallas,Wheelchair Accessibility,4.4,https://www.olivegarden.com,Physical Disability,"10300 N. Central Expy, Dallas, TX 75231"
Cheddar's Scratch Kitchen,Restaurent,Dallas,Wheelchair Accessibility,4.3,https://www.cheddars.com,Physical Disability,"7750 N. MacArthur Blvd, Irving, TX 75063"
Outback Steakhouse,Restaurent,Dallas,Wheelchair Accessibility,4.2,https://www.outback.com,Physical Disability,"6008 E. Mockingbird Ln, Dallas, TX 75206"
IHOP,Restaurent,Dallas,Wheelchair Accessibility,4.3,https://www.ihop.com,Physical Disability,"9300 N. Central Expy, Dallas, TX 75231"
Buffalo Wild Wings,Restaurent,Dallas,Wheelchair Accessibility,4.1,https://www.buffalowildwings.com,Physical Disability,"4040 W. 15th St, Plano, TX 75093"
Red Lobster,Restaurent,Dallas,Wheelchair Accessibility,4.2,https://www.redlobster.com,Physical Disability,"5700 W. 15th St, Plano, TX 75093"
Starbucks,Restaurent,Dallas,Wheelchair Accessibility,4.3,https://www.starbucks.com,Physical Disability,"6001 E. Mockingbird Ln, Dallas, TX 75206"
Taco Bueno,Restaurent,Dallas,Wheelchair Accessibility,4.1,https://www.tacobueno.com,Physical Disability,"4601 W. 7th St, Dallas, TX 75205"
Carrabba's Italian Grill,Restaurent,Dallas,Wheelchair Accessibility,4.4,https://www.carrabbas.com,Physical Disability,"4313 W. 15th St, Plano, TX 75093"
Ruby Tuesday,Restaurent,Dallas,Wheelchair Accessibility,4.3,https://www.rubytuesday.com,Physical Disability,"6205 N. Central Expy, Dallas, TX 75206"
Waffle House,Restaurent,Dallas,Wheelchair Accessibility,4.2,https://www.wafflehouse.com,Physical Disability,"1430 N. Central Expy, Dallas, TX 75204"
Applebee's,Restaurent,Dallas,Wheelchair Accessibility,4.3,https://www.applebees.com,Physical Disability,"2080 N. Central Expy, Plano, TX 75074"
The Rustic,Restaurent,Dallas,Assistive Devices,4.5,https://therustic.com,Speech Disability ,"3656 Howell St, Dallas, TX 75204"
Meddlesome Moth,Restaurent,Dallas,Assistive Devices,4.4,https://meddlesomemoth.com,Speech Disability ,"1621 Oak Lawn Ave, Dallas, TX 75207"
Smoke,Restaurent,Dallas,Assistive Devices,4.3,http://smokerestaurant.com,Speech Disability ,"901 Fort Worth Ave, Dallas, TX 75208"
True Food Kitchen,Restaurent,Dallas,Assistive Devices,4.6,https://www.truefoodkitchen.com,Speech Disability ,"8383 Preston Center Plaza, Dallas, TX 75225"
Jack in the Box,Restaurent,Dallas,Assistive Devices,4.1,https://www.jackinthebox.com,Speech Disability ,"1140 N. Central Expy, Dallas, TX 75204"
Chipotle Mexican Grill,Restaurent,Dallas,Assistive Devices,4.4,https://www.chipotle.com,Speech Disability ,"7030 Greenville Ave, Dallas, TX 75231"
Subway,Restaurent,Dallas,Assistive Devices,4.3,https://www.subway.com,Speech Disability ,"4230 N. Central Expy, Dallas, TX 75205"
Dairy Queen,Restaurent,Dallas,Assistive Devices,4.2,https://www.dairyqueen.com,Speech Disability ,"1515 W. 7th St, Dallas, TX 75208"
Pei Wei Asian Diner,Restaurent,Dallas,Assistive Devices,4.5,https://www.peiwei.com,Speech Disability ,"3150 W. 7th St, Dallas, TX 75201"
Freddy's Frozen Custard & Steakburgers,Restaurent,Dallas,Assistive Devices,4.3,https://www.freddysusa.com,Speech Disability ,"3000 W. 15th St, Plano, TX 75075"
Einstein Bros Bagels,Restaurent,Dallas,Assistive Devices,4.3,https://www.einsteinbros.com,Speech Disability ,"7300 N. Central Expy, Dallas, TX 75206"
Café Express,Restaurent,Dallas,Assistive Devices,4.4,https://www.cafeexpress.com,Speech Disability ,"1000 N. Central Expy, Dallas, TX 75204"
Pizza Hut,Restaurent,Dallas,Assistive Devices,4,https://www.pizzahut.com,Speech Disability ,"2123 W. 7th St, Dallas, TX 75208"
Taco Bell,Restaurent,Dallas,Assistive Devices,4.1,https://www.tacobell.com,Speech Disability ,"1011 W. 7th St, Dallas, TX 75208"