Name of Place ,Type of Location,Location,Accessbilty Feature,User Rate,Contatc Information,Disability preferences,Disability preferences,Disability preferences,Disability preferences
Reunion Tower GeO-Deck,Tourist Attractions ,"300 Reunion Blvd E, Dallas, TX 75207","fully accesible, except for blind people",4.5,https://reuniontower.com/,Physical Disability,Speech Disability ,Auditory Disability,
Dallas Arboretum and Botanical Garden,Tourist Attractions ,"8525 Garland Rd, Dallas, TX 75218",fully accesible,4.8,https://www.dallasarboretum.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Perot Museum of Nature and Science,Tourist Attractions ,"2201 N Field St, Dallas, TX 75201",fully accesible,4.7,https://www.perotmuseum.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Dallas Museum of Art,Tourist Attractions ,"1717 N Harwood St, Dallas, TX 75201",fully accesible,4.6,https://www.dma.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Klyde Warren Park,Tourist Attractions ,"2012 Woodall Rodgers Freeway, Dallas, TX 75201","fully accesible, except for blind people",4.7,https://www.klydewarrenpark.org/,Physical Disability,Speech Disability ,Auditory Disability,
Dallas Zoo,Tourist Attractions ,"650 S R L Thornton Fwy, Dallas, TX 75203",fully accesible,4.4,https://www.dallaszoo.com/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Bishop Arts District,Tourist Attractions ,"N Bishop Ave & Melba St, Dallas, TX 75208",fully accesible,4.6,https://www.bishopartsdistrict.com/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Dallas Cattle Drive Sculptures at Pioneer Plaza,Tourist Attractions ,"1428 Young St, Dallas, TX 75202","fully accesible, except for blind people",4.5,https://www.visitdallas.com/,Physical Disability,Speech Disability ,Auditory Disability,
Sixth Floor Museum at Dealey Plaza,Tourist Attractions ,"411 Elm St, Dallas, TX 75202","fully accesible, except for blind people",4.5,https://www.jfk.org/,Physical Disability,,,
Dallas Farmers Market,Tourist Attractions ,"920 S Harwood St, Dallas, TX 75201","fully accesible, except for blind people",4.5,https://dallasfarmersmarket.org/,Physical Disability,Speech Disability ,Auditory Disability,
Klyde Warren Park,Tourist Attractions ,"2012 Woodall Rodgers Fwy, Dallas, TX 75201",fully accesible,4.7,https://www.klydewarrenpark.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Dallas Museum of Art,Tourist Attractions ,"1717 N Harwood St, Dallas, TX 75201","fully accesible, except for blind people",4.7,https://dma.org/,Physical Disability,Speech Disability ,Auditory Disability,
Dallas World Aquarium,Tourist Attractions ,"1801 N Griffin St, Dallas, TX 75202",fully accesible,4.4,https://dwazoo.com/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Dallas Holocaust and Human Rights Museum,Tourist Attractions ,"300 N Houston St, Dallas, TX 75202",fully accesible,4.7,https://www.dallasholocaustmuseum.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Meadows Museum,Tourist Attractions ,"5900 Bishop Blvd, Dallas, TX 75205","fully accesible, except for blind people",4.8,https://meadowsmuseumdallas.org/,Physical Disability,Speech Disability ,Auditory Disability,
Fair Park,Tourist Attractions ,"3809 Grand Ave, Dallas, TX 75210","fully accesible, except for blind people",4.4,https://fairpark.org/,Physical Disability,Speech Disability ,Auditory Disability,
Nasher Sculpture Center,Tourist Attractions ,"2001 Flora St, Dallas, TX 75201",fully accesible,4.5,https://www.nashersculpturecenter.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Winspear Opera House,Tourist Attractions ,"2403 Flora St, Dallas, TX 75201",fully accesible,4.8,https://www.attpac.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Arbor Hills Nature Preserve,Tourist Attractions ,"6701 W Parker Rd, Plano, TX 75093","fully accesible, except for blind people",4.6,"Arbor Hills Nature Preserve | Plano, TX - Official Website",Physical Disability,Speech Disability ,Auditory Disability,
Frontiers of Flight Museum,Tourist Attractions ,"6911 Lemmon Ave, Dallas, TX 75209",fully accesible,4.6,https://www.flightmuseum.com/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability
Old Red Museum of Dallas County History & Culture,Tourist Attractions ,"100 S Houston St, Dallas, TX 75202",fully accesible,4.4,http://www.oldred.org/,Physical Disability,Speech Disability ,Auditory Disability,Eye Disability